name,category,price,description,image
Caterpillar Roll,Premium Sushi,10.35,Slices of Avocado over Eel Roll,images/PremiumSushi.jpg
Tuna Bowl,Fresh Sushi Bowl,12.65,,images/FreshSushiBowl.jpg
Spicy Tuna Bowl,Fresh Sushi Bowl,12.65,,images/FreshSushiBowl.jpg
Salmon Bowl,Fresh Sushi Bowl,12.65,,images/FreshSushiBowl.jpg
Chirashi Bowl,Fresh Sushi Bowl,18.4,Mixed sashimi.,images/FreshSushiBowl.jpg
Combo Plate (1 Item),Combo Plate,6.9,1 item combination plate,images/ComboPlate.jpg
Combo Plate (2 Items),Combo Plate,9.78,2 item combination plate,images/ComboPlate.jpg
Combo Plate (3 Items),Combo Plate,12.08,3 item combination plate,images/ComboPlate.jpg
Tonkotsu Ramen,Ramen Noodle,12.65,"Thin noodle, light tonkotsu based soup, served with chashu pork, hard boiled egg, green onion, sliced red pepper, garlic oil.",images/RamenNoodle.jpg
Miso Ramen,Ramen Noodle,12.65,"Thin noodle, miso based soup, served with chashu pork, hard boiled egg, crispy onion chips, bamboo shoots, corn, green onion, bean sprouts.",images/RamenNoodle.jpg
Plain Udon,Udon Noodle,9.78,,images/UdonNoodle.jpg
Vegetable Udon,Udon Noodle,9.78,,images/UdonNoodle.jpg
Chicken Udon,Udon Noodle,9.78,,images/UdonNoodle.jpg
Beef Udon,Udon Noodle,10.93,,images/UdonNoodle.jpg
Tempura Udon,Udon Noodle,10.93,,images/UdonNoodle.jpg
Poke Bowl,Poke Bowl,11.5,Fresh sashimi grade fish (or tofu) on top of your choice of base. Served with miso soup.,images/PokeBowl.jpg
Curry Plate,Curry Plate,9.2,Japanese style curry rice plate served with our original vegetable based savory curry sauce.,images/CurryPlate.jpg
Edamame,Side Orders,4.03,,images/SideOrders.jpg
Miso Soup,Side Orders,2.3,,https://cdn.doordash.com/media/photos/e57e3e17-6dcc-476b-8ed7-cd78cfbc6016-retina-large-jpeg
White Rice,Side Orders,2.3,,https://cdn.doordash.com/media/photos/0058afb6-38e8-4dd2-a39a-87d12325d3ba-retina-large-jpeg
Brown Rice,Side Orders,3.45,,images/SideOrders.jpg
Chicken Teriyaki,Side Orders,5.18,Dark meat chicken teriyaki,images/SideOrders.jpg
Chicken Breast Teriyaki,Side Orders,6.33,White meat chicken breast teriyaki,images/SideOrders.jpg
Karaage Chicken,Side Orders,5.18,,images/SideOrders.jpg
Sesame Chicken,Side Orders,5.18,,images/SideOrders.jpg
Chicken Katsu,Side Orders,5.18,Dark meat chicken katsu,images/SideOrders.jpg
Chicken Breast Katsu,Side Orders,6.33,White meat chicken breast katsu,images/SideOrders.jpg
Beef Teriyaki,Side Orders,6.33,,images/SideOrders.jpg
Gyoza (5pc),Side Orders,4.03,,images/SideOrders.jpg
Vege Egg Roll (3pc),Side Orders,4.6,,images/SideOrders.jpg
Vegetable Teriyaki,Side Orders,5.18,,images/SideOrders.jpg
Vegetable Tempura (7pc),Side Orders,5.18,,images/SideOrders.jpg
Shrimp Tempura (3pc),Side Orders,5.75,,images/SideOrders.jpg
Potato Mac Salad,Side Orders,2.88,,images/SideOrders.jpg
Curry Sauce (8 oz),Side Orders,3.16,,images/SideOrders.jpg
Hawaiian Sun Drinks,Beverages,3.25,Hawaiian Sun Can Juices,images/Beverages.jpg
